日期,温度 (°C),湿度 (%),降雨量 (mm),病虫害
2023-05-20,23.767908354578964,52.884025711869874,0.0,无
2023-05-21,11.281859079151495,59.20086153491067,0.0,无
2023-05-22,19.887714211591693,61.93252083232397,0.0,苹果白粉病
2023-05-23,18.74694867203063,52.17473937295921,0.0,蚜虫
2023-05-24,15.68580801896255,43.0111730253775,0.0,蚜虫
2023-05-25,22.610609829994324,54.88160205161083,0.0,苹果白粉病
2023-05-26,21.801902696835118,53.840327348536334,6.7596533426416805,无
2023-05-27,16.291575722739452,67.27829010514365,0.0,无
2023-05-28,18.041184007937446,79.52680956661241,3.1959905645870617,苹果金纹细蛾
2023-05-29,16.72748124953065,63.02137915628521,0.0,蚜虫
2023-05-30,15.89855988227154,73.84004449998541,0.0,无
2023-05-31,19.390596050942115,69.10917814229201,0.0,蚜虫
2023-06-01,28.129670413095766,59.478146667961006,0.0,无
2023-06-02,27.447941385843777,54.980373539614746,0.0,红蜘蛛
2023-06-03,25.23923992636642,61.598186164277195,0.0,蚜虫
2023-06-04,28.98776698335397,56.811036463202164,10.783617664548723,无
2023-06-05,25.529679899681962,59.11079419752946,0.0,蚜虫
2023-06-06,28.400704230303223,51.77356359646615,26.121715425465702,无
2023-06-07,30.70297235822821,53.81439500871375,0.0,无
2023-06-08,29.33819861745032,44.9589219641053,0.0,蚜虫
2023-06-09,24.50056342576129,43.62423275910721,3.4832691659435615,无
2023-06-10,29.994742694545824,66.02794835701972,0.0,无
2023-06-11,31.100681149568903,71.3446543359246,0.0,无
2023-06-12,26.89243780894651,55.4374659476062,0.0,无
2023-06-13,32.045139640062644,65.33644788217532,0.0,无
2023-06-14,24.973620330850242,44.91052626143592,0.0,蚜虫
2023-06-15,27.291966632984202,64.34833253179511,0.7662159556900606,无
2023-06-16,27.741886647149727,46.523638625383526,0.0,"蚜虫, 红蜘蛛"
2023-06-17,21.912011312383818,65.92720746846364,0.0,无
2023-06-18,27.027662610105754,53.19009042951932,0.0,无
2023-06-19,28.826704993054452,72.9281885920607,0.0,蚜虫
2023-06-20,31.355153181077988,68.68364733455346,16.948166521648343,无
2023-06-21,29.050699640754665,72.1414497364483,0.0,无
2023-06-22,26.108634210373165,72.42435047245824,0.0,蚜虫
2023-06-23,28.65402417564837,49.256429204448445,0.0,无
2023-06-24,24.633211911459384,56.35925950473117,8.310097711548908,无
2023-06-25,20.82184044144875,47.170962316155304,0.0,无
2023-06-26,26.077444359967945,48.5105556812081,5.524582616435453,无
2023-06-27,24.79545787865752,63.34157253270372,0.0,无
2023-06-28,27.17970986246024,45.62669228335863,0.0,无
2023-06-29,33.18588080277085,67.06603489772154,0.0,无
2023-06-30,26.836290357016143,50.1544964037551,19.53689191962575,无
2023-07-01,33.44199812421414,49.099580011533405,0.0,无
2023-07-02,28.121293350082183,62.78944763984309,0.0,无
2023-07-03,21.10764114791956,63.76292088054714,0.0,无
2023-07-04,30.13153982864227,54.07241733751491,0.0,无
2023-07-05,27.295212452070487,61.476164890733756,0.0,蚜虫
2023-07-06,28.69402682712986,62.787299392959845,0.0,蚜虫
2023-07-07,26.815783967833042,77.05440823680082,0.0,无
2023-07-08,26.749882831406154,53.92071713920643,0.0,红蜘蛛
2023-07-09,32.70044012404491,73.38129385699006,0.0,无
2023-07-10,26.12634160596051,62.2448147132417,9.837622687585005,苹果食心虫
2023-07-11,26.704122431807267,72.08903182177136,0.8257499066412501,无
2023-07-12,27.22908256288578,42.891616809995796,0.5053845534228342,红蜘蛛
2023-07-13,28.097769503619695,37.540595966533594,0.0,"红蜘蛛, 二斑叶螨"
2023-07-14,31.248798109138786,75.43044891074643,0.0,无
2023-07-15,23.362225031113603,40.955796734433434,0.0,无
2023-07-16,28.133927789777747,68.06677779870395,0.0,蚜虫
2023-07-17,23.265981034254423,53.14090482479469,0.0,蚜虫
2023-07-18,32.196946046896585,56.4919353532133,0.0,无
2023-07-19,27.793736358142745,58.77625771430293,3.92709235392025,苹果卷叶蛾
2023-07-20,28.874989208785557,67.70008767380799,0.0,无
2023-07-21,25.370768865237856,53.87908472701494,0.0,无
2023-07-22,29.6327081526213,74.07063235571096,0.0,无
2023-07-23,26.986894497125967,53.90751122976468,0.0,无
2023-07-24,24.679102913064085,71.56862895094635,0.0,无
2023-07-25,28.587994084208173,52.77234001933724,0.0,无
2023-07-26,24.942878721300215,38.25616850620352,0.0,无
2023-07-27,29.343352411253274,62.6894219835006,2.7028983926164054,无
2023-07-28,29.02189780898972,77.30901621863893,0.0,蚜虫
2023-07-29,27.654997482444664,54.869039989747144,0.0,无
2023-07-30,23.69487158298381,36.04535076055907,0.0,无
2023-07-31,28.33747730633391,37.12061627589574,0.0,无
2023-08-01,27.033851315512692,76.31638455587864,0.0,无
2023-08-02,23.10656656321527,45.693083592181864,2.572173767260656,无
2023-08-03,29.36351295701667,63.22647432217405,0.0,无
2023-08-04,30.773334516757295,64.72602584705407,0.0,无
2023-08-05,22.158500333673192,57.69339697493556,0.0,蚜虫
2023-08-06,27.057490564150868,49.398848001962634,0.0,无
2023-08-07,26.78795597428778,54.184938708784706,0.0,蚜虫
2023-08-08,25.976658657861137,44.88750432859035,0.0,无
2023-08-09,19.186673785170758,43.99700388072182,0.0,无
2023-08-10,26.76336785013509,47.8092043287845,19.23366774692101,无
2023-08-11,30.054716773474514,51.238235348682565,22.759516408346197,无
2023-08-12,31.045413752801082,58.97036963279889,0.0,无
2023-08-13,31.870146283717744,55.06388379504127,0.0,无
2023-08-14,28.615854278722143,53.24655548425885,0.0,蚜虫
2023-08-15,26.88612634691359,44.52405842994999,0.0,无
2023-08-16,24.78248662684333,46.9408423245297,0.0,无
2023-08-17,24.53977977955552,62.408475786553126,0.0,蚜虫
2023-08-18,21.993944134644366,57.62027211763331,0.0,"苹果白粉病, 苹果绵蚜"
2023-08-19,33.57988479304901,53.40170528689511,7.499994690829313,无
2023-08-20,22.858925512678972,55.508402540678226,8.433108608259385,无
2023-08-21,27.576461488137976,58.15461582273398,0.0,红蜘蛛
2023-08-22,29.144924657736276,57.47026258112591,0.0,无
2023-08-23,29.460603964751407,57.777068695992256,0.0,无
2023-08-24,27.718474279607452,55.666141128941895,0.0,红蜘蛛
2023-08-25,27.586765196066064,66.33128049484301,0.0,无
2023-08-26,34.395426194851005,47.656583699387596,0.0,二斑叶螨
2023-08-27,27.524571851208943,57.50100924816245,0.0,红蜘蛛
2023-08-28,31.330294934128755,54.92816798186074,3.805709278306665,无
2023-08-29,27.50329391738917,77.91217241133778,0.0,无
2023-08-30,25.093723223732912,64.0698475487359,0.0,无
2023-08-31,28.79684583565201,54.30546380509013,0.0,无
2023-09-01,16.978742904826504,58.90169471350831,1.4172795634635484,无
2023-09-02,18.391970767030255,41.50237380900212,1.3813682755964527,无
2023-09-03,18.422649859430102,59.37957276321882,0.0,无
2023-09-04,18.781306250238217,83.16772771311688,0.0,无
2023-09-05,15.22982625584399,64.9310754753794,0.0,无
2023-09-06,18.656464343257433,61.51962337157907,0.0,无
2023-09-07,25.954229380239344,67.57580370517897,0.0,蚜虫
2023-09-08,16.524837228869092,42.17170976644803,0.0,无
2023-09-09,17.364242869968628,58.87959777968786,1.0031858887904619,蚜虫
2023-09-10,21.86627264171606,73.6741291272457,0.0,无
2023-09-11,18.117445078440007,62.17711590251933,0.0,苹果白粉病
2023-09-12,10.10121380651632,64.24932718947795,0.0,无
2023-09-13,23.55010205046187,63.89456680129307,0.0,蚜虫
